symbol,tier,source_category,categories,scan_priority,scanner_frequency,classification_basis
AAPL,Tier 1,core,Mega Cap,100,every_scan,core scanner universe plus curated symbol category map
MSFT,Tier 1,core,Mega Cap|AI|Cloud,100,every_scan,core scanner universe plus curated symbol category map
NVDA,Tier 1,core,Mega Cap|AI|Semiconductor|Growth,100,every_scan,core scanner universe plus curated symbol category map
AMZN,Tier 1,core,Mega Cap|AI|Cloud|Consumer,100,every_scan,core scanner universe plus curated symbol category map
META,Tier 1,core,Mega Cap|AI,100,every_scan,core scanner universe plus curated symbol category map
GOOGL,Tier 1,core,Mega Cap|AI|Cloud,100,every_scan,core scanner universe plus curated symbol category map
AVGO,Tier 1,core,Mega Cap|AI|Semiconductor,100,every_scan,core scanner universe plus curated symbol category map
TSLA,Tier 1,core,Mega Cap|Consumer|Growth,100,every_scan,core scanner universe plus curated symbol category map
NFLX,Tier 1,core,Large Cap|Consumer,100,every_scan,core scanner universe plus curated symbol category map
AMD,Tier 1,core,Large Cap|AI|Semiconductor|Growth,100,every_scan,core scanner universe plus curated symbol category map
ORCL,Tier 1,core,Large Cap|AI|Cloud,100,every_scan,core scanner universe plus curated symbol category map
CRM,Tier 1,core,Large Cap|Cloud,100,every_scan,core scanner universe plus curated symbol category map
ADBE,Tier 1,core,Large Cap|Cloud,100,every_scan,core scanner universe plus curated symbol category map
INTU,Tier 1,core,Large Cap,100,every_scan,core scanner universe plus curated symbol category map
QCOM,Tier 1,core,Large Cap|Semiconductor,100,every_scan,core scanner universe plus curated symbol category map
MU,Tier 1,core,Large Cap|AI|Semiconductor,100,every_scan,core scanner universe plus curated symbol category map
PANW,Tier 1,core,Large Cap|Cybersecurity,100,every_scan,core scanner universe plus curated symbol category map
CRWD,Tier 1,core,Large Cap|Cybersecurity|Growth,100,every_scan,core scanner universe plus curated symbol category map
DDOG,Tier 1,core,Mid Cap|AI|Cloud|Growth,100,every_scan,core scanner universe plus curated symbol category map
SNOW,Tier 1,core,Large Cap|AI|Cloud|Growth,100,every_scan,core scanner universe plus curated symbol category map
PLTR,Tier 1,core,Large Cap|AI|Defense,100,every_scan,core scanner universe plus curated symbol category map
SHOP,Tier 1,core,Large Cap|Cloud|Consumer|Growth,100,every_scan,core scanner universe plus curated symbol category map
NOW,Tier 1,core,Large Cap|Cloud,100,every_scan,core scanner universe plus curated symbol category map
ANET,Tier 1,core,Large Cap|AI,100,every_scan,core scanner universe plus curated symbol category map
INTC,Tier 1,core,Large Cap|Semiconductor,100,every_scan,core scanner universe plus curated symbol category map
ARM,Tier 1,core,Large Cap|AI|Semiconductor,100,every_scan,core scanner universe plus curated symbol category map
ASML,Tier 1,core,Large Cap|AI|Semiconductor,100,every_scan,core scanner universe plus curated symbol category map
TSM,Tier 1,core,Large Cap|AI|Semiconductor,100,every_scan,core scanner universe plus curated symbol category map
AMAT,Tier 1,core,Large Cap|AI|Semiconductor,100,every_scan,core scanner universe plus curated symbol category map
LRCX,Tier 1,core,Large Cap|AI|Semiconductor,100,every_scan,core scanner universe plus curated symbol category map
KLAC,Tier 1,core,Large Cap|AI|Semiconductor,100,every_scan,core scanner universe plus curated symbol category map
MRVL,Tier 1,core,Large Cap|AI|Semiconductor,100,every_scan,core scanner universe plus curated symbol category map
UBER,Tier 1,core,Large Cap|Consumer|Growth,100,every_scan,core scanner universe plus curated symbol category map
ABNB,Tier 1,core,Large Cap|Consumer|Growth,100,every_scan,core scanner universe plus curated symbol category map
MSTR,Tier 1,core,Large Cap|Crypto,100,every_scan,core scanner universe plus curated symbol category map
COIN,Tier 1,core,Large Cap|Crypto,100,every_scan,core scanner universe plus curated symbol category map
APP,Tier 1,core,Large Cap|AI|Growth|Momentum,100,every_scan,core scanner universe plus curated symbol category map
RBLX,Tier 1,core,Mid Cap|Consumer|Growth,100,every_scan,core scanner universe plus curated symbol category map
MDB,Tier 1,core,Mid Cap|AI|Cloud|Growth,100,every_scan,core scanner universe plus curated symbol category map
ZS,Tier 1,core,Mid Cap|Cybersecurity|Growth,100,every_scan,core scanner universe plus curated symbol category map
JPM,Tier 1,core,Mega Cap|Large Cap,100,every_scan,core scanner universe plus curated symbol category map
GS,Tier 1,core,Large Cap,100,every_scan,core scanner universe plus curated symbol category map
MS,Tier 1,core,Large Cap,100,every_scan,core scanner universe plus curated symbol category map
BAC,Tier 1,core,Large Cap,100,every_scan,core scanner universe plus curated symbol category map
WFC,Tier 1,core,Large Cap,100,every_scan,core scanner universe plus curated symbol category map
BLK,Tier 1,core,Large Cap,100,every_scan,core scanner universe plus curated symbol category map
BRK-B,Tier 1,core,Mega Cap,100,every_scan,core scanner universe plus curated symbol category map
V,Tier 1,core,Mega Cap,100,every_scan,core scanner universe plus curated symbol category map
MA,Tier 1,core,Mega Cap,100,every_scan,core scanner universe plus curated symbol category map
AXP,Tier 1,core,Large Cap,100,every_scan,core scanner universe plus curated symbol category map
CAT,Tier 1,core,Large Cap,100,every_scan,core scanner universe plus curated symbol category map
DE,Tier 1,core,Large Cap,100,every_scan,core scanner universe plus curated symbol category map
HON,Tier 1,core,Large Cap,100,every_scan,core scanner universe plus curated symbol category map
GE,Tier 1,core,Large Cap|Defense,100,every_scan,core scanner universe plus curated symbol category map
RTX,Tier 1,core,Large Cap|Defense|Space,100,every_scan,core scanner universe plus curated symbol category map
LMT,Tier 1,core,Large Cap|Defense|Space,100,every_scan,core scanner universe plus curated symbol category map
BA,Tier 1,core,Large Cap|Defense|Space,100,every_scan,core scanner universe plus curated symbol category map
UNP,Tier 1,core,Large Cap,100,every_scan,core scanner universe plus curated symbol category map
UPS,Tier 1,core,Large Cap,100,every_scan,core scanner universe plus curated symbol category map
FDX,Tier 1,core,Large Cap,100,every_scan,core scanner universe plus curated symbol category map
WMT,Tier 1,core,Large Cap|Consumer,100,every_scan,core scanner universe plus curated symbol category map
COST,Tier 1,core,Large Cap|Consumer,100,every_scan,core scanner universe plus curated symbol category map
PG,Tier 1,core,Large Cap|Consumer,100,every_scan,core scanner universe plus curated symbol category map
KO,Tier 1,core,Large Cap|Consumer,100,every_scan,core scanner universe plus curated symbol category map
PEP,Tier 1,core,Large Cap|Consumer,100,every_scan,core scanner universe plus curated symbol category map
MCD,Tier 1,core,Large Cap|Consumer,100,every_scan,core scanner universe plus curated symbol category map
HD,Tier 1,core,Large Cap|Consumer,100,every_scan,core scanner universe plus curated symbol category map
LOW,Tier 1,core,Large Cap|Consumer,100,every_scan,core scanner universe plus curated symbol category map
NKE,Tier 1,core,Large Cap|Consumer,100,every_scan,core scanner universe plus curated symbol category map
SBUX,Tier 1,core,Large Cap|Consumer,100,every_scan,core scanner universe plus curated symbol category map
JNJ,Tier 1,core,Large Cap|Biotech,100,every_scan,core scanner universe plus curated symbol category map
LLY,Tier 1,core,Mega Cap|Biotech,100,every_scan,core scanner universe plus curated symbol category map
UNH,Tier 1,core,Mega Cap|Biotech,100,every_scan,core scanner universe plus curated symbol category map
