route,sample,status,total_ms,bytes_read_cap_1mb,error
/api/health,1,200,219.49,116,
/api/health,2,200,221.26,116,
/api/health,3,200,258.3,116,
/api/health,4,200,267.42,116,
/api/health,5,200,137.39,116,
/api/health/deep,1,200,486.42,1621,
/api/health/deep,2,200,307.3,1602,
/api/health/deep,3,200,186.62,1613,
/api/health/deep,4,200,322.37,1600,
/api/health/deep,5,200,207.35,1603,
/api/discovery,1,0,216.89,0,HTTP Error 401: Unauthorized
/api/discovery,2,0,134.47,0,HTTP Error 401: Unauthorized
/api/discovery,3,0,165.42,0,HTTP Error 401: Unauthorized
/api/discovery,4,0,157.24,0,HTTP Error 401: Unauthorized
/api/discovery,5,0,136.72,0,HTTP Error 401: Unauthorized
/discover,1,200,258.83,57840,
/discover,2,200,238.74,57840,
/discover,3,200,233.42,57840,
/discover,4,200,249.88,57840,
/discover,5,200,263.57,57840,
/scanner,1,200,242.86,53769,
/scanner,2,200,280.13,53769,
/scanner,3,200,226.07,53769,
/scanner,4,200,261.53,53769,
/scanner,5,200,287.53,53769,
/symbol/AMD,1,200,430.04,113868,
/symbol/AMD,2,200,500.97,113868,
/symbol/AMD,3,200,530.31,113868,
/symbol/AMD,4,200,384.84,113868,
/symbol/AMD,5,200,504.33,113868,
/symbol/RGTI,1,200,413.07,112940,
/symbol/RGTI,2,200,364.42,112940,
/symbol/RGTI,3,200,381.11,112940,
/symbol/RGTI,4,200,350.42,112940,
/symbol/RGTI,5,200,334.14,112940,
/alerts,1,200,180.0,58497,
/alerts,2,200,218.54,58497,
/alerts,3,200,177.61,58497,
/alerts,4,200,207.96,58497,
/alerts,5,200,219.46,58497,
/feed,1,200,479.15,178363,
/feed,2,200,485.71,178363,
/feed,3,200,681.98,178363,
/feed,4,200,589.3,178363,
/feed,5,200,513.8,178363,
/macro,1,200,574.65,142197,
/macro,2,200,574.83,142197,
/macro,3,200,536.99,142197,
/macro,4,200,426.07,142197,
/macro,5,200,562.73,142197,
/market-memory,1,200,625.18,331696,
/market-memory,2,200,507.73,331696,
/market-memory,3,200,582.1,331696,
/market-memory,4,200,504.76,331682,
/market-memory,5,200,502.38,331682,
