symbol,company_name,sector,industry,final_score,final_decision,action,setup_type,data_provider,price_history_rows,confidence_score
UUP,Invesco DB US Dollar Index Bullish Fund,US Dollar,,90.41,AVOID,BUY,AVOID,yfinance,500,7.47
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,80.1,AVOID,STRONG BUY,AVOID,yfinance,500,15.78
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,79.11,AVOID,STRONG BUY,AVOID,alpaca,505,60.62
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,79.08,WATCH,BUY,PULLBACK,alpaca,505,84.78
MPC,Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,78.74,AVOID,STRONG BUY,AVOID,alpaca,505,60.62
PFG,"Principal Financial Group, Inc.",Financial Services,Asset Management,78.43,AVOID,STRONG BUY,AVOID,yfinance,501,62.78
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,77.7,AVOID,BUY,AVOID,alpaca,505,54.68
ASB,Associated Banc-Corp,Financial Services,Banks - Regional,76.27,AVOID,BUY,AVOID,yfinance,501,72.78
MS,Morgan Stanley,Financial Services,Capital Markets,76.16,AVOID,BUY,AVOID,alpaca,505,54.62
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,76.14,AVOID,STRONG BUY,AVOID,alpaca,505,54.62
INCY,Incyte Corporation,Healthcare,Biotechnology,75.96,WAIT_PULLBACK,BUY,AVOID,yfinance,500,38.62
BNL,"Broadstone Net Lease, Inc.",Real Estate,REIT - Diversified,75.43,AVOID,STRONG BUY,AVOID,yfinance,501,54.78
FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,75.22,AVOID,STRONG BUY,AVOID,alpaca,505,70.39
HYG,,High Yield Credit,,75.21,AVOID,WAIT / HOLD,AVOID,alpaca,505,46.47
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,74.77,AVOID,STRONG BUY,AVOID,alpaca,505,55.1
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,74.77,AVOID,BUY,AVOID,alpaca,505,65.04
AAPL,Apple Inc.,Technology,Consumer Electronics,74.72,WATCH,BUY,PULLBACK,alpaca,505,86.1
UBS,UBS Group AG,Financial Services,Banks - Diversified,74.53,AVOID,BUY,AVOID,yfinance,501,62.62
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,74.5,AVOID,STRONG BUY,AVOID,yfinance,501,54.78
SLB,SLB N.V.,Energy,Oil & Gas Equipment & Services,74.4,AVOID,BUY,AVOID,alpaca,505,70.74
ONB,Old National Bancorp,Financial Services,Banks - Regional,74.24,AVOID,BUY,AVOID,yfinance,501,64.68
VLO,Valero Energy Corporation,Energy,Oil & Gas Refining & Marketing,73.88,AVOID,BUY,AVOID,alpaca,505,64.62
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,73.85,AVOID,STRONG BUY,AVOID,alpaca,505,61.1
