sample,timestamp_utc,name,cpu,mem_usage,mem_percent
1,2026-06-09T13:39:41Z,market-alpha-scanner-market-alpha-scanner-job-run-a486146f8b81,12.34%,125.7MiB / 2GiB,6.14%
1,2026-06-09T13:39:41Z,market-alpha-frontend,0.51%,170.2MiB / 31.08GiB,0.53%
1,2026-06-09T13:39:41Z,market-alpha-frontend-hot-api,0.00%,126.1MiB / 31.08GiB,0.40%
1,2026-06-09T13:39:41Z,hdsm-caddy,0.00%,22.64MiB / 31.08GiB,0.07%
1,2026-06-09T13:39:41Z,market-alpha-scanner-market-alpha-postgres-1,0.36%,2.475GiB / 31.08GiB,7.96%
1,2026-06-09T13:39:41Z,hdsm-app,0.00%,83.5MiB / 31.08GiB,0.26%
1,2026-06-09T13:39:41Z,hdsm-mysql,3.56%,27.91MiB / 31.08GiB,0.09%
2,2026-06-09T13:40:15Z,market-alpha-scanner-market-alpha-scanner-job-run-a486146f8b81,100.64%,131.5MiB / 2GiB,6.42%
2,2026-06-09T13:40:15Z,market-alpha-frontend,1.03%,181.4MiB / 31.08GiB,0.57%
2,2026-06-09T13:40:15Z,market-alpha-frontend-hot-api,0.00%,126.1MiB / 31.08GiB,0.40%
2,2026-06-09T13:40:15Z,hdsm-caddy,0.23%,23.77MiB / 31.08GiB,0.07%
2,2026-06-09T13:40:15Z,market-alpha-scanner-market-alpha-postgres-1,0.23%,2.467GiB / 31.08GiB,7.94%
2,2026-06-09T13:40:15Z,hdsm-app,0.01%,83.6MiB / 31.08GiB,0.26%
2,2026-06-09T13:40:15Z,hdsm-mysql,0.79%,27.65MiB / 31.08GiB,0.09%
3,2026-06-09T13:41:12Z,market-alpha-scanner-market-alpha-scanner-job-run-a486146f8b81,3.27%,142.5MiB / 2GiB,6.96%
3,2026-06-09T13:41:12Z,market-alpha-frontend,0.00%,171.2MiB / 31.08GiB,0.54%
3,2026-06-09T13:41:12Z,market-alpha-frontend-hot-api,0.00%,126.1MiB / 31.08GiB,0.40%
3,2026-06-09T13:41:12Z,hdsm-caddy,0.00%,25.53MiB / 31.08GiB,0.08%
3,2026-06-09T13:41:12Z,market-alpha-scanner-market-alpha-postgres-1,0.04%,2.456GiB / 31.08GiB,7.90%
3,2026-06-09T13:41:12Z,hdsm-app,0.01%,82.99MiB / 31.08GiB,0.26%
3,2026-06-09T13:41:12Z,hdsm-mysql,0.94%,27.65MiB / 31.08GiB,0.09%
4,2026-06-09T13:41:58Z,market-alpha-scanner-market-alpha-scanner-job-run-a486146f8b81,19.49%,193.6MiB / 2GiB,9.46%
4,2026-06-09T13:41:58Z,market-alpha-frontend,0.00%,178.5MiB / 31.08GiB,0.56%
4,2026-06-09T13:41:58Z,market-alpha-frontend-hot-api,0.00%,126.1MiB / 31.08GiB,0.40%
4,2026-06-09T13:41:58Z,hdsm-caddy,0.00%,25.53MiB / 31.08GiB,0.08%
4,2026-06-09T13:41:58Z,market-alpha-scanner-market-alpha-postgres-1,0.02%,2.464GiB / 31.08GiB,7.93%
4,2026-06-09T13:41:58Z,hdsm-app,0.01%,83.04MiB / 31.08GiB,0.26%
4,2026-06-09T13:41:58Z,hdsm-mysql,0.88%,27.65MiB / 31.08GiB,0.09%
5,2026-06-09T13:43:11Z,market-alpha-scanner-market-alpha-scanner-job-run-a486146f8b81,20.24%,316.4MiB / 2GiB,15.45%
5,2026-06-09T13:43:11Z,market-alpha-frontend,0.45%,172MiB / 31.08GiB,0.54%
5,2026-06-09T13:43:11Z,market-alpha-frontend-hot-api,0.00%,126.1MiB / 31.08GiB,0.40%
5,2026-06-09T13:43:11Z,hdsm-caddy,2.57%,26.85MiB / 31.08GiB,0.08%
5,2026-06-09T13:43:11Z,market-alpha-scanner-market-alpha-postgres-1,0.11%,2.464GiB / 31.08GiB,7.93%
5,2026-06-09T13:43:11Z,hdsm-app,0.00%,83.19MiB / 31.08GiB,0.26%
5,2026-06-09T13:43:11Z,hdsm-mysql,0.99%,27.66MiB / 31.08GiB,0.09%
