symbol,company_name,sector,industry,final_score,final_decision,action,setup_type,data_provider,price_history_rows,confidence_score
UUP,Invesco DB US Dollar Index Bullish Fund,US Dollar,,85.57,AVOID,BUY,AVOID,yfinance,501,54.47
AMG,"Affiliated Managers Group, Inc.",Financial Services,Asset Management,80.98,AVOID,STRONG BUY,AVOID,yfinance,501,62.62
ABCB,Ameris Bancorp,Financial Services,Banks - Regional,80.27,AVOID,STRONG BUY,AVOID,yfinance,501,62.62
HYG,,High Yield Credit,,79.85,AVOID,BUY,AVOID,alpaca,506,54.47
ZION,"Zions Bancorporation, National Association",Financial Services,Banks - Regional,79.59,AVOID,STRONG BUY,AVOID,yfinance,501,62.62
BNS,The Bank of Nova Scotia,Financial Services,Banks - Diversified,79.59,AVOID,STRONG BUY,AVOID,yfinance,501,62.78
MTB,M&T Bank Corporation,Financial Services,Banks - Regional,79.3,AVOID,STRONG BUY,AVOID,yfinance,501,62.78
ASB,Associated Banc-Corp,Financial Services,Banks - Regional,79.21,AVOID,STRONG BUY,AVOID,yfinance,501,62.78
PFG,"Principal Financial Group, Inc.",Financial Services,Asset Management,78.99,AVOID,STRONG BUY,AVOID,yfinance,501,62.78
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,78.91,AVOID,STRONG BUY,AVOID,alpaca,506,62.68
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,78.8,AVOID,BUY,AVOID,alpaca,506,62.78
ONB,Old National Bancorp,Financial Services,Banks - Regional,78.67,AVOID,STRONG BUY,AVOID,yfinance,501,62.68
RF,Regions Financial Corporation,Financial Services,Banks - Regional,77.97,AVOID,BUY,AVOID,yfinance,501,62.78
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,77.86,AVOID,STRONG BUY,AVOID,alpaca,506,54.78
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,77.83,AVOID,STRONG BUY,AVOID,alpaca,506,54.62
INCY,Incyte Corporation,Healthcare,Biotechnology,77.1,AVOID,BUY,AVOID,yfinance,501,54.62
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,77.01,AVOID,STRONG BUY,AVOID,alpaca,506,54.62
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,76.34,AVOID,STRONG BUY,AVOID,alpaca,506,55.1
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,76.34,AVOID,STRONG BUY,AVOID,alpaca,506,55.1
BNL,"Broadstone Net Lease, Inc.",Real Estate,REIT - Diversified,76.03,AVOID,STRONG BUY,AVOID,yfinance,501,54.78
MS,Morgan Stanley,Financial Services,Capital Markets,75.76,AVOID,BUY,AVOID,alpaca,506,62.62
UBS,UBS Group AG,Financial Services,Banks - Diversified,75.26,AVOID,STRONG BUY,AVOID,yfinance,501,62.62
EXPD,"Expeditors International of Washington, Inc.",Industrials,Integrated Freight & Logistics,75.18,AVOID,STRONG BUY,AVOID,yfinance,501,54.78
LGND,Ligand Pharmaceuticals Incorporated,Healthcare,Biotechnology,75.05,AVOID,STRONG BUY,AVOID,yfinance,501,54.62
TSM,Taiwan Semiconductor Manufacturing Company Limited,Technology,Semiconductors,74.98,AVOID,BUY,AVOID,alpaca,506,65.03
XLF,State Street Financial Select Sector SPDR ETF,Financial Services,,74.65,AVOID,BUY,AVOID,alpaca,506,54.47
TFC,Truist Financial Corporation,Financial Services,Banks - Regional,74.55,AVOID,BUY,AVOID,alpaca,506,72.62
LEVI,Levi Strauss & Co.,Consumer Cyclical,Apparel Manufacturing,74.14,AVOID,STRONG BUY,AVOID,yfinance,501,54.62
CPAY,"Corpay, Inc.",Technology,Software - Infrastructure,74.07,AVOID,BUY,AVOID,yfinance,501,65.1
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,74.01,WAIT_PULLBACK,BUY,PULLBACK,alpaca,506,66.78
MCY,Mercury General Corporation,Financial Services,Insurance - Property & Casualty,73.84,AVOID,BUY,AVOID,yfinance,501,72.62
BYD,Boyd Gaming Corporation,Consumer Cyclical,Resorts & Casinos,73.83,AVOID,BUY,AVOID,yfinance,501,54.74
