selected_index,symbol,state,detail,price_history_rows,data_timestamp,provider,provider_error,avg_dollar_volume,market_cap,final_score
1,AAPL,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,466402928.54,4267410980864.0,66.63
2,MSFT,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,403109842.7,2996704903168.0,50.83
3,NVDA,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,1087832757.43,5042570002432.0,66.87
4,AMZN,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,487530169.88,2626778562560.0,57.39
5,META,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,311765488.45,1483936890880.0,49.06
6,GOOGL,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,393221274.35,4442127073280.0,66.34
7,AVGO,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,370074462.84,1865732718592.0,51.77
8,TSLA,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,320655549.16,1489820450816.0,40.92
9,NFLX,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,186860898.57,342801121280.0,48.84
10,AMD,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,315264025.1,775358709760.0,57.44
11,ORCL,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,130647245.86,591919054848.0,45.85
12,CRM,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,110007667.45,143611658240.0,53.64
13,ADBE,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,46485968.47,96151101440.0,48.99
14,INTU,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,125540830.78,80359694336.0,33.05
15,QCOM,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,145809094.05,216512675840.0,55.75
16,MU,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,781640564.65,1055434997760.0,52.12
17,PANW,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,102966371.24,212323794944.0,55.1
18,CRWD,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,93206902.09,164176478208.0,42.94
19,DDOG,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,69570579.05,80923992064.0,49.23
20,SNOW,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,105345101.59,83066159104.0,38.47
21,PLTR,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,154272717.81,316613001216.0,36.93
22,SHOP,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,51337986.01,143287025664.0,42.56
23,NOW,ranked,ranked and included in full_ranking.csv,506,2026-06-09T04:00:00+00:00,alpaca,,141266478.0,110319017984.0,37.1
