route,status,time_namelookup,time_connect,time_appconnect,time_starttransfer,time_total,size_download
/,200,0.001012,0.028596,0.059372,0.171797,0.610194,357228
/terminal,200,0.000848,0.014989,0.046026,0.165445,0.280511,108358
/discover,200,0.001213,0.022226,0.054692,0.167023,0.259590,57284
/scanner,200,0.000788,0.053543,0.132832,0.555078,0.570175,53195
/symbol/AMD,200,0.001190,0.031693,0.059456,0.147590,0.419999,114355
/history,200,0.000764,0.011689,0.037836,0.148680,0.208124,78260
/performance,200,0.000659,0.017158,0.039322,0.115016,0.203811,78944
/feed,200,0.001193,0.026253,0.057137,0.328828,0.580694,176134
/alerts,200,0.001240,0.036036,0.065148,0.158360,0.260914,57923
/account,200,0.001142,0.012841,0.033647,0.108681,0.190350,55139
/market-memory,200,0.000877,0.019753,0.047924,0.150805,0.427890,331659
/api/health,200,0.000788,0.021567,0.055534,0.131522,0.131669,114
/api/health/deep,200,0.000989,0.037732,0.067790,0.162852,0.162989,1615
