route,status,time_namelookup,time_connect,time_appconnect,time_starttransfer,time_total,size_download
/,200,0.025295,0.077773,0.108440,0.195051,0.748308,357298
/terminal,200,0.001208,0.015769,0.036085,0.183597,0.338595,108374
/discover,200,0.000974,0.024793,0.111615,0.191877,0.273321,57336
/scanner,200,0.001161,0.019413,0.043153,0.116346,0.191304,53265
/symbol/AMD,200,0.001213,0.018849,0.053786,0.151849,0.399146,113499
/history,200,0.001254,0.017614,0.047829,0.138010,0.239622,78330
/performance,200,0.001312,0.021244,0.068439,0.161590,0.284207,79014
/feed,200,0.001286,0.022548,0.053968,0.322163,0.533854,176204
/alerts,200,0.000749,0.022686,0.058730,0.381411,0.421283,57993
/account,200,0.000772,0.015323,0.055201,0.129309,0.207508,55209
/api/health,200,0.000686,0.010178,0.039900,0.101192,0.101304,114
/api/health/deep,200,0.000720,0.021362,0.043907,0.132040,0.132185,1616
