route,status,time_namelookup,time_connect,time_appconnect,time_starttransfer,time_total,size_download
/,200,0.001121,0.060641,0.084551,0.292853,1.314554,357298
/terminal,200,0.000984,0.016774,0.043573,0.141299,0.349775,108428
/discover,200,0.001031,0.023688,0.051867,0.124782,0.207528,57354
/scanner,200,0.000704,0.023885,0.047276,0.140288,0.219609,53265
/symbol/AMD,200,0.001269,0.025844,0.053925,0.171621,5.961604,113410
/history,200,0.000797,0.016886,0.049602,0.179261,0.314975,78330
/performance,200,0.000764,0.084761,0.124563,0.311213,0.380104,79014
/feed,200,0.000674,0.050980,0.081742,0.592323,0.878444,176237
/alerts,200,0.001162,0.020593,0.058123,0.138944,0.202671,57993
/account,200,0.000700,0.018989,0.043128,0.113911,0.192095,55209
/market-memory,200,0.000811,0.013278,0.037724,0.146941,0.441044,333275
/api/health,200,0.000693,0.022028,0.049902,0.120454,0.120628,116
/api/health/deep,200,0.000963,0.017116,0.058755,0.153327,0.153457,1633
/api/discovery,401,0.000870,0.016090,0.064541,0.130863,0.130996,992
/api/live-intelligence,401,0.000965,0.010404,0.060357,0.181780,0.181917,60
/api/intelligence/predictive,401,0.000930,1.053434,1.074084,1.184190,1.184252,60
