route,status,time_namelookup,time_connect,time_appconnect,time_starttransfer,time_total,size_download
/,200,0.001173,0.025003,0.059188,0.256489,0.591621,357298
/terminal,200,0.000855,0.015339,0.047895,0.145078,0.246690,108428
/discover,200,0.000765,0.015532,0.044310,0.190737,0.401420,57354
/scanner,200,0.001130,0.015664,0.044153,0.242217,0.305708,53265
/symbol/AMD,200,0.000820,0.022107,0.049732,0.185112,0.421861,113382
/history,200,0.001051,0.015380,0.045102,0.124668,0.197674,78330
/performance,200,0.000814,0.021587,0.047049,0.151702,0.258498,79014
/feed,200,0.001271,0.040114,0.076171,0.360222,0.612058,177012
/alerts,200,0.001150,0.033660,0.064392,0.168158,0.213517,57993
/account,200,0.001315,0.016022,0.040546,0.116245,0.179902,55209
/market-memory,200,0.001241,0.024266,0.066650,0.185014,0.502367,325235
/api/health,200,0.000938,0.013103,0.032281,9.489723,9.489806,115
/api/health/deep,200,0.001379,0.017968,0.108063,0.262805,0.262953,1623
